"18+ Age Verification with iDIN","18+ leeftijd verificatie met iDIN"
"18+ Product","18+ Product"
"A customer with the same iDIN identity already exists!","Een klant met dezelfde iDIN identiteit bestaat al!"
"Active","Actief"
"Age Verification","Leeftijd Verificatie"
"Age Verification Required","Leeftijd Verificatie Verplicht"
"Always","Altijd"
"Can\'t place order, please verify your age in order to continue.","Kan bestelling niet plaatsen, verifieer uw leeftijd in om verder te gaan."
"Common settings","Algemene instellingen"
"Common settings and account details","Algemene instellingen en accountgegevens"
"Complete Registration","Voltooi registratie"
"Connect with iDIN","Registreer met iDIN"
"Connect your account with iDIN and benefit from faster login.","Registreer met iDIN en profiteer van een snellere login."
"Continue","Doorgaan"
"Could not create a new customer session!","Kan geen nieuwe klant sessie maken!"
"Could not find a matching account, please make sure your account is linked with iDIN.","Kan een bijpassende account vinden, zorg ervoor dat uw account is gekoppeld aan iDIN."
"Create a support ticket","Maak een support ticket"
"Create an Account with iDIN","Creeer een account met iDIN"
"Customer #","Klant #"
"Date","Datum"
"Details for transaction %s","Details van transactie %s"
"Documentation:","Documentatie:"
"Email Address","E-mailadres"
"Email Confirmation Template","E-mail Bevestiging Template"
"Email:","E-mail:"
"Emailaddress is already in use","Emailadres is al in gebruik"
"Entrance Code","Entrance Code"
"Epartment E-commerce","Epartment E-commerce"
"Failed to create a new account!","Niet in geslaagd om een ​​nieuwe account aan te maken!"
"Finish your registration","Voltooi uw registratie"
"If you need help by filling out your account details or settings up common settings, please contact CM Groep.","Als u hulp nodig heeft bij het invullen van uw accountgegevens of algemene instellingen, neem dan contact op met CM Groep."
"If you&apos;re experiencing issues or need help with advanced topics, please contact Epartment E-commerce.","Als u (installatie) problemen ondervindt of hulp nodig heeft met specifieke Magento onderwerpen, neem dan contact Epartment E-commerce."
"If you're experiencing issues or need help with advanced topics, please contact Epartment E-commerce.",""
"In order to continue, you need to verify your age through iDIN.","Om door te gaan moet u uw leeftijd middels iDIN verifieren."
"Invalid action","Ongeldige actie"
"Invalid data returned from iDIN issuer","Ongeldige gegevens terug van iDIN"
"Invalid request data","Ongeldig data verzoek"
"Live","Live"
"Loading next step...","Volgende stap laden ..."
"Login or Create an Account with iDIN","Inloggen of een account aanmaken met iDIN"
"Login or register with iDIN","Inloggen of registreren met iDIN"
"Login with iDIN","Inloggen met iDIN"
"Merchant Token","Merchant Token"
"Mode","Modus"
"Module support and advanced configuration","Module ondersteuning en geavanceerde configuratie"
"Only 18+ products","Alleen 18+ producten"
"Order #","Bestelling #"
"Phone Number","Telefoonnummer"
"Phone:","Telefoon:"
"Please enter your email address","Vul uw e-mailadres in"
"Please enter your phone number","Vul uw telefoonnummer in"
"Please note: every login action will result in a transaction with iDIN. There is a possibility this could lead to higher costs.","Let op: elke login actie zal resulteren in een transactie met iDIN. Dit kan leiden tot hogere kosten."
"Please select your bank","Selecteer uw bank"
"Please verify your age","Verifiëer uw leeftijd"
"Register with iDIN","Registreren met iDIN"
"Registration with iDIN","Registratie met iDIN"
"Registration with iDIN is almost complete. Please enter your email address in order to finish your registration.","Registratie met iDIN is bijna compleet. Vul uw e-mailadres in om uw registratie te voltooien."
"Save 18+ verification result","18+ verificatie resultaat opslaan"
"Select your bank","Selecteer uw bank"
"Shopping cart notice","Winkelmand opmerking"
"Show shopping cart notice","Toon winkelmand bericht"
"Succesfully connected your account with iDIN!","Succesvol verbonden met uw account via iDIN!"
"Succesfully logged in with iDIN!","Succesvol ingelogd met iDIN!"
"Succesfully registered with iDIN!","Succesvol geregistreerd bij iDIN!"
"Succesfully verified your age with iDIN!","Uw leeftijd is succesvol geverifiëerd met iDIN!"
"Support","Ondersteuning"
"Support:","Ondersteuning:"
"Test","Test"
"This module is being developed by Epartment E-commerce for CM Groep. Depending on your question you should contact Epartment E-commerce or CM Groep.","Deze module wordt ontwikkeld door Epartment E-commerce voor CM Groep. Afhankelijk van uw vraag kunt u contact opnemen Epartment E-commerce of CM Groep."
"Transaction #","Transactie #"
"Transaction Date","Transactie datum"
"Transaction ID","Transactie ID"
"Transaction Information","Transactie informatie"
"Transaction Response","Transactie antwoord"
"Verify age with iDIN","Verifiëer uw leeftijd via iDIN"
"Verify your age with iDIN","Verifiëer uw leeftijd via iDIN"
"What is iDIN?","Wat is iDIN?"
"Your Checkout Progress","Uw kassa voortgang"
"Your account is connected with iDIN!","Uw account is verbonden met iDIN!"
"Your age has been verified through iDIN.","Uw leeftijd is geverifiëerd via iDIN."
"Your age has been verified!","Uw leeftijd is geverifiëerd!"
"Your age has been verified, you can continue to checkout.","Uw leeftijd is geverifiëerd. U kunt verder gaan met afrekenen."
"Your age has not yet been verified through iDIN or you&apos;re not at least 18 years of age","Uw leeftijd is nog niet geverifiëerd via iDIN of u bent nog geen 18 jaar of ouder"
"iDIN","iDIN"
"iDIN Transaction Log","iDIN Transactie Log"
"iDIN Transactions","iDIN Transacties"
"iDIN extension documentation","iDIN extensie documentatie"
"iDIN is a secure way of identifying yourself with the merchant. It enables quick registration and login through your bank.","iDIN is een veilige manier om u te identificeren voor de verkoper. Het zorgt voor een snelle registratie en login via uw bank."
"iDIN verification failed or canceled. Please try again later.","iDIN verificatie is mislukt of geannuleerd. Probeer het later opnieuw."
"iDIN verification succeeded, please finish your registration.","iDIN verificatie is gelukt,  voltooi uw registratie."
"When set to &quot;No&quot;, the customer has to verify their age on every checkout.","Indien deze instelling op &quot;Nee&quot; staat, dient de klant bij elk bestelling opnieuw zijn/haar leeftijd te verifiëren."
"Cancel Registration","Registratie annuleren"
"Optional password","Optioneel wachtwoord"
"Repeat password","Herhaal wachtwoord"
"Optionally specify a password","Optioneel wachtwoord"
"If specified, please confirm your password","Optioneel wachtwoord bevestigen"
"Enable login with password","Inloggen met wachtwoord inschakelen"
"Show notice on product page","Toon bericht op productpagina"
"Product page notice","Productpagina bericht"
"Extension version:","Extensie versie:"
